,starting_conditions,theorem
0,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
1,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
2,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
3,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
4,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
5,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
6,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
7,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
8,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
9,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
10,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
11,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
12,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
13,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
14,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
15,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
16,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
17,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
18,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
19,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
20,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
21,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
22,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
23,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
24,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
25,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
26,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
27,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
28,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
29,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
30,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
31,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
32,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
33,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
34,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
35,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
36,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
37,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
38,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
39,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
40,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
41,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
42,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
43,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
44,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
45,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
46,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
47,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(b*((a+a)*a)))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(a*b))
48,"The following statement is true:
",(c*(((c*a)+(a*c))+0))=(((c*(c+(c+0)))*a)+(c*0))
49,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
50,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
